Date,Rainfall,Groundwater,Min_Temp,Max_Temp
01/01/2021,0.00,-9.525388888888887,22.0,27.0
02/01/2021,7.00,-9.439777777777778,22.0,26.0
03/01/2021,0.40,-9.410277777777779,24.0,27.0
04/01/2021,0.20,-9.43061111111111,24.0,27.0
05/01/2021,146.40,-9.14777777777778,25.0,27.0
06/01/2021,16.40,-9.081333333333331,24.0,26.0
07/01/2021,3.20,-8.935999999999998,24.0,27.0
08/01/2021,1.00,-8.886166666666664,24.0,28.0
09/01/2021,0.20,-8.837611111111109,25.0,28.0
10/01/2021,0.00,-8.792333333333334,25.0,28.0
11/01/2021,3.20,-9.193611111111107,25.0,28.0
12/01/2021,0.00,-9.234111111111112,25.0,28.0
13/01/2021,0.00,-9.15261111111111,25.0,28.0
14/01/2021,0.00,-9.086777777777776,24.0,28.0
15/01/2021,0.00,-8.811333333333334,24.0,28.0
16/01/2021,0.00,-8.8245,24.0,29.0
17/01/2021,0.00,-8.793388888888888,24.0,29.0
18/01/2021,0.00,-8.796722222222222,24.0,27.0
19/01/2021,0.00,-8.788555555555556,23.0,27.0
20/01/2021,0.00,-8.761166666666666,24.0,28.0
21/01/2021,0.00,-8.816555555555555,24.0,30.0
22/01/2021,0.00,-8.797111111111112,24.0,29.0
23/01/2021,0.00,-8.805222222222222,24.0,30.0
24/01/2021,0.00,-8.788055555555555,23.0,30.0
25/01/2021,0.00,-8.728444444444444,23.0,30.0
26/01/2021,0.00,-8.724333333333334,22.0,29.0
27/01/2021,0.00,-8.748333333333331,22.0,29.0
28/01/2021,0.00,-8.702611111111112,24.0,28.0
29/01/2021,0.00,-8.742111111111111,24.0,28.0
30/01/2021,0.00,-8.739055555555558,22.0,28.0
31/01/2021,0.00,-8.713444444444441,22.0,29.0
01/02/2021,0.00,-8.752944444444445,24.0,28.0
02/02/2021,0.00,-8.92411111111111,23.0,28.0
03/02/2021,0.00,-8.909999999999997,24.0,28.0
04/02/2021,0.00,-8.944722222222222,21.0,28.0
05/02/2021,0.00,-9.025222222222222,21.0,28.0
06/02/2021,0.00,-8.993666666666668,22.0,28.0
07/02/2021,0.00,-8.948888888888888,22.0,28.0
08/02/2021,0.00,-9.011055555555558,22.0,28.0
09/02/2021,0.00,-9.06161111111111,23.0,28.0
10/02/2021,0.00,-8.960333333333331,21.0,28.0
11/02/2021,0.00,-9.023,22.0,29.0
12/02/2021,0.00,-8.972999999999999,23.0,28.0
13/02/2021,0.00,-8.984222222222222,21.0,29.0
14/02/2021,0.00,-8.983666666666666,21.0,30.0
15/02/2021,0.00,-8.982666666666667,21.0,29.0
16/02/2021,0.00,-8.9405,21.0,30.0
17/02/2021,0.00,-8.94188888888889,22.0,29.0
18/02/2021,0.00,-8.94138888888889,23.0,29.0
19/02/2021,0.00,-8.978166666666667,24.0,28.0
20/02/2021,0.60,-8.961555555555556,24.0,28.0
21/02/2021,0.20,-8.94711111111111,24.0,28.0
22/02/2021,0.00,-8.954111111111112,24.0,28.0
23/02/2021,0.00,-8.980333333333334,24.0,30.0
24/02/2021,0.00,-9.037777777777778,24.0,30.0
25/02/2021,0.00,-8.93933333333333,23.0,31.0
26/02/2021,0.00,-8.969055555555556,22.0,32.0
27/02/2021,0.20,-8.921166666666668,23.0,32.0
28/02/2021,0.00,-8.972222222222221,22.0,31.0
01/03/2021,0.00,-9.016111111111112,23.0,30.0
02/03/2021,0.00,-8.975833333333334,23.0,31.0
03/03/2021,0.00,-9.010722222222222,23.0,31.0
04/03/2021,0.00,-9.033222222222227,24.0,30.0
05/03/2021,0.00,-9.054388888888887,23.0,30.0
06/03/2021,0.00,-9.021888888888888,22.0,32.0
07/03/2021,0.00,-8.995000000000003,23.0,32.0
08/03/2021,0.00,-9.033666666666669,24.0,31.0
09/03/2021,0.00,-9.107111111111113,24.0,31.0
10/03/2021,0.00,-9.067777777777776,24.0,31.0
11/03/2021,0.00,-9.107444444444445,23.0,31.0
12/03/2021,0.00,-9.09677777777778,24.0,31.0
13/03/2021,0.00,-9.086000000000002,25.0,31.0
14/03/2021,0.00,-9.154611111111112,25.0,31.0
15/03/2021,0.00,-9.082888888888888,24.0,32.0
16/03/2021,0.00,-9.073444444444444,24.0,31.0
17/03/2021,0.00,-9.083555555555556,25.0,31.0
18/03/2021,0.00,-9.109388888888889,24.0,31.0
19/03/2021,0.00,-9.13061111111111,24.0,30.0
20/03/2021,0.00,-9.07888888888889,23.0,31.0
21/03/2021,0.00,-9.115777777777778,24.0,32.0
22/03/2021,0.00,-9.191611111111111,25.0,32.0
23/03/2021,0.00,-9.133777777777773,25.0,31.0
24/03/2021,0.00,-9.13822222222222,25.0,32.0
25/03/2021,0.00,-9.23938888888889,25.0,32.0
26/03/2021,0.00,-9.173833333333333,25.0,32.0
27/03/2021,0.00,-9.185388888888887,26.0,33.0
28/03/2021,0.00,-9.194333333333335,24.0,33.0
29/03/2021,0.00,-9.164166666666667,25.0,34.0
30/03/2021,0.00,-9.205,25.0,36.0
31/03/2021,0.00,-9.152166666666666,27.0,38.0
01/04/2021,0.00,-9.258666666666667,28.0,39.0
02/04/2021,0.00,-9.209555555555555,28.0,39.0
03/04/2021,0.00,-9.262,26.0,36.0
04/04/2021,0.00,-9.225333333333332,26.0,35.0
05/04/2021,0.00,-9.238944444444448,25.0,33.0
06/04/2021,0.00,-9.203444444444445,25.0,32.0
07/04/2021,0.00,-9.253,25.0,32.0
08/04/2021,0.00,-9.255722222222223,25.0,33.0
09/04/2021,0.00,-9.284888888888888,24.0,33.0
10/04/2021,0.00,-9.249944444444445,25.0,32.0
11/04/2021,0.00,-9.221111111111112,25.0,32.0
12/04/2021,0.00,-9.293555555555557,27.0,32.0
13/04/2021,0.00,-9.285666666666668,27.0,33.0
14/04/2021,10.80,-9.264388888888888,28.0,33.0
15/04/2021,0.00,-9.220000000000002,26.0,31.0
16/04/2021,0.00,-9.226666666666667,26.0,34.0
17/04/2021,0.00,-9.177055555555556,28.0,35.0
18/04/2021,0.00,-9.155000000000003,28.0,35.0
19/04/2021,0.00,-9.144222222222222,28.0,35.0
20/04/2021,0.00,-9.193166666666668,28.0,35.0
21/04/2021,0.00,-9.15761111111111,28.0,34.0
22/04/2021,0.00,-9.27911111111111,28.0,34.0
23/04/2021,0.00,-9.192944444444443,28.0,34.0
24/04/2021,0.00,-9.187666666666667,28.0,34.0
25/04/2021,0.00,-9.191999999999998,26.0,34.0
26/04/2021,0.00,-9.179833333333333,26.0,34.0
27/04/2021,0.00,-9.185888888888888,27.0,35.0
28/04/2021,0.00,-9.179333333333336,26.0,35.0
29/04/2021,0.00,-9.264833333333334,29.0,34.0
30/04/2021,0.00,-9.200333333333331,28.0,34.0
01/05/2021,0.00,-9.18438888888889,26.0,34.0
02/05/2021,0.00,-9.135388888888889,26.0,33.0
03/05/2021,0.00,-9.192555555555556,28.0,33.0
04/05/2021,0.00,-9.145555555555555,28.0,34.0
05/05/2021,0.00,-9.144444444444446,28.0,34.0
06/05/2021,0.00,-9.150944444444443,28.0,34.0
07/05/2021,0.00,-9.142000000000001,28.0,34.0
08/05/2021,0.00,-9.174777777777779,28.0,33.0
09/05/2021,0.00,-9.104444444444447,28.0,34.0
10/05/2021,0.00,-9.113888888888889,28.0,34.0
11/05/2021,0.00,-9.131666666666666,29.0,35.0
12/05/2021,0.00,-9.10911111111111,29.0,35.0
13/05/2021,0.00,-9.079888888888886,29.0,35.0
14/05/2021,0.00,-9.094333333333333,28.0,34.0
15/05/2021,0.00,-9.066944444444445,28.0,35.0
16/05/2021,0.00,-9.047277777777778,29.0,34.0
17/05/2021,0.00,-9.071666666666667,29.0,35.0
18/05/2021,0.00,-9.060444444444443,29.0,34.0
19/05/2021,0.00,-9.113777777777777,29.0,34.0
20/05/2021,0.00,-9.08188888888889,28.0,34.0
21/05/2021,0.00,-9.0295,28.0,35.0
22/05/2021,0.00,-9.006166666666665,28.0,34.0
22/05/2021,0.00,-9.006166666666665,28.0,34.0
23/05/2021,0.00,-9.039611111111114,29.0,35.0
23/05/2021,0.00,-9.039611111111114,29.0,35.0
24/05/2021,0.00,-8.996444444444446,29.0,35.0
25/05/2021,0.00,-8.977555555555558,29.0,35.0
26/05/2021,0.00,-9.00238888888889,29.0,37.0
27/05/2021,0.00,-9.033555555555555,29.0,36.0
28/05/2021,0.00,-9.033333333333333,30.0,37.0
29/05/2021,0.00,-8.988611111111112,29.0,37.0
30/05/2021,0.00,-9.007444444444443,30.0,37.0
31/05/2021,0.00,-9.026722222222222,30.0,37.0
01/06/2021,0.00,-8.99583333333333,30.0,35.0
01/06/2021,0.00,-8.99583333333333,30.0,35.0
02/06/2021,0.00,-9.03061111111111,30.0,34.0
02/06/2021,0.00,-9.03061111111111,30.0,34.0
03/06/2021,0.00,-9.037722222222222,28.0,34.0
03/06/2021,0.00,-9.037722222222222,28.0,34.0
04/06/2021,0.00,-9.040166666666668,26.0,33.0
04/06/2021,0.00,-9.040166666666668,26.0,33.0
05/06/2021,0.00,-9.024888888888889,28.0,33.0
05/06/2021,0.00,-9.024888888888889,28.0,33.0
06/06/2021,0.00,-9.091833333333332,27.0,35.0
07/06/2021,0.00,-9.11811111111111,28.0,35.0
08/06/2021,0.00,-8.972000000000001,28.0,35.0
09/06/2021,0.00,-8.946222222222225,29.0,35.0
10/06/2021,0.00,-9.03438888888889,28.0,34.0
11/06/2021,0.00,-9.021944444444447,27.0,33.0
12/06/2021,0.00,-8.967722222222225,26.0,35.0
13/06/2021,0.00,-8.988499999999998,26.0,34.0
14/06/2021,1.20,-9.03888888888889,28.0,33.0
15/06/2021,0.00,-8.949111111111113,29.0,35.0
16/06/2021,0.00,-8.973222222222224,29.0,36.0
17/06/2021,0.00,-8.947666666666667,29.0,35.0
18/06/2021,0.00,-8.946666666666665,29.0,35.0
19/06/2021,0.00,-8.98938888888889,29.0,35.0
20/06/2021,0.00,-8.994388888888887,29.0,36.0
21/06/2021,0.00,-8.974722222222221,27.0,35.0
22/06/2021,0.00,-9.052666666666669,30.0,35.0
23/06/2021,0.00,-8.9735,27.0,33.0
